"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-18",,"71","47"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-19",,"70","51"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-20",,"74","49"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-21",,"77","54"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-22",,"62","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-23",,"59","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-24",,"69","42"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-25",,"74","39"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-26",,"74","43"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-27",,"74","44"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-28",,"79","50"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-29",,"75","40"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-30",,"53","37"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-01",,"60","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-02",,"49","40"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-03",,"70","36"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-04",,"82","44"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-05",,"85","49"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-06",,"86","52"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-07",,"75","53"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-08",,"77","47"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-09",,"84","48"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-10",,"74","51"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-11",,"81","47"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-12",,"66","45"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-13",,"71","44"
